*Hour,Load
4817,6.42884
4818,6.35878
4819,6.3863
4820,6.00935
4821,5.32053
4822,4.70419
4823,3.98963
4824,3.46119
4825,3.05204
4826,2.87472
4827,2.7185
4828,2.66717
4829,2.61786
4830,2.62724
4831,2.68226
4832,2.80613
4833,2.97975
4834,3.06953
4835,3.46718
4836,3.61719
4837,4.18123
4838,4.90991
4839,5.40248
4840,6.07541
4841,6.56155
4842,6.51067
4843,6.36287
4844,5.86011
4845,5.29811
4846,4.67692
4847,4.05236
4848,3.47987
4849,3.08824
4850,2.84548
4851,2.68609
4852,2.61063
4853,2.49492
4854,2.57134
4855,2.6832
4856,2.85472
4857,3.0141
4858,3.40991
4859,3.71199
4860,4.07772
4861,4.45264
4862,4.8962
4863,5.37769
4864,5.94432
4865,6.48496
4866,6.23152
4867,6.07238
4868,5.75822
4869,5.15713
4870,4.61845
4871,4.07007
4872,3.54812
4873,3.13649
4874,2.91772
4875,2.70328
4876,2.64694
4877,2.58701
4878,2.63849
4879,2.66089
4880,2.75589
4881,2.98902
4882,3.08557
4883,3.1669
4884,3.35498
4885,3.73581
4886,4.21722
4887,4.95074
4888,5.59046
4889,5.98663
4890,6.22122
4891,6.19954
4892,5.85981
4893,5.25929
4894,4.65235
4895,3.99834
4896,3.15243
4897,3.06091
4898,2.83745
4899,2.56815
4900,2.45737
4901,2.34567
4902,2.40784
4903,2.44172
4904,2.56943
4905,2.74155
4906,2.79276
4907,2.95501
4908,3.13774
4909,3.48874
4910,3.98602
4911,4.56028
4912,5.15296
4913,5.43255
4914,5.66691
4915,5.58009
4916,5.20692
4917,4.58834
4918,4.03879
4919,3.46392
4920,3.1083
4921,2.6609
4922,2.51943
4923,2.41472
4924,2.29849
4925,2.27312
4926,2.47558
4927,2.66696
4928,2.80588
4929,3.00083
4930,3.07664
4931,3.1667
4932,3.36322
4933,3.53588
4934,3.96117
4935,4.31275
4936,4.72654
4937,4.98661
4938,5.10286
4939,5.06657
4940,4.64725
4941,4.20677
4942,3.87484
4943,3.41761
4944,3.01565
4945,2.83882
4946,2.69152
4947,2.58291
4948,2.53113
4949,2.49348
4950,2.50688
4951,2.5899
4952,2.83225
4953,3.17989
4954,3.26367
4955,3.41766
4956,3.63201
4957,3.84221
4958,4.26816
4959,4.65051
4960,4.97642
4961,4.84774
4962,5.01643
4963,4.87051
4964,4.39682
4965,4.09909
4966,3.81787
4967,3.38757
4968,3.14038
4969,2.82568
4970,2.65355
4971,2.59145
4972,2.55541
4973,2.50641
4974,2.63912
4975,2.65385
4976,2.8061
4977,2.9555
4978,3.31943
4979,3.44873
4980,3.63402
4981,3.94898
4982,4.35592
4983,4.87491
4984,5.4325
4985,5.86888
4986,5.80271
4987,5.71968
4988,5.2222
4989,4.68062
4990,4.22288
4991,3.68835
4992,3.19157
4993,2.9325
4994,2.76518
4995,2.69994
4996,2.61368
4997,2.54058
4998,2.56479
4999,2.64857
5000,2.83449
5001,3.23319
5002,3.49978
5003,3.62162
5004,3.88293
5005,4.26445
5006,4.80704
5007,5.47887
5008,6.04727
5009,6.32786
5010,6.1147
5011,5.9444
5012,5.41785
